title,price,discount,extra_info_3,likes,extra_info_2,course_subject
뜬구름 잡지 말고 클라우드 제대로 이해하기,"₩121,000",할인 없음,입문,24,(4시간 15분),"데브옵스 · 인프라, 클라우드"
"기초탄탄, SQL 톺아보기 (입문과정)","₩121,000",할인 없음,입문,8,(5시간 48분),세부 주제 없음
Flutter 앱 개발 실전,"₩143,000",할인 없음,중급이상,183,(14시간 23분),모바일 앱 개발
[iOS] Swift Modern Collection View & MVVM 패턴 가이드,"₩39,600",할인 없음,초급,40,(7시간 33분),모바일 앱 개발
소프트웨어 개발 7가지 기본 원칙: 최고의 프로그래머가 되는 방법,"₩22,000",할인 없음,초급,35,(1시간 30분),개발 · 프로그래밍
"JavaScript 비동기 프로그래밍 완벽 가이드 - Promise, await, async","₩22,000",할인 없음,초급,69,(1시간 20분),웹 개발
누구나 쉽게 배울 수 있는 드론맵핑 전문가 과정,"₩66,000",할인 없음,입문,22,(2시간 11분),개발 · 프로그래밍
코딩 기본 문법 + 아두이노 기본 부품 사용하기,"₩29,700",할인 없음,입문,21,(1시간 26분),"임베디드 · IoT, 개발 · 프로그래밍"
컴퓨터 과학 (0): 공개 샘플 강의 - 컴퓨터의 역할,가격 정보 없음,할인 없음,입문,41,(47분),"개발 · 프로그래밍, 컴퓨터 구조"
"컴퓨터 과학 (5): 인터페이스 - 운영체제, 사용자 인터페이스, 데이터베이스","₩8,250",25%,입문,23,(3시간 46분),"개발 · 프로그래밍, 컴퓨터 구조"
"컴퓨터 과학 (4): 자료구조 - 자료 저장, 알고리즘, 객체지향","₩8,250",25%,입문,35,(3시간 44분),"개발 · 프로그래밍, 알고리즘 · 자료구조"
CUDA 프로그래밍 (6) - C/C++/GPU 병렬 컴퓨팅 - 서치 & 소트,"₩37,130",24%,중급이상,24,(3시간 42분),"프로그래밍 언어, 딥러닝 · 머신러닝"
모던 자바스크립트 딥다이브 스터디,가격 정보 없음,할인 없음,초급,592,(14시간 26분),세부 주제 없음
이펙티브 타입스크립트 스터디,가격 정보 없음,할인 없음,초급,244,(12시간 57분),프로그래밍 언어
[초급] 40분만에 훑어보는 Sass,"₩5,500",할인 없음,초급,389,(51분),"프론트엔드, 프로그래밍 언어"
